name,brief,gua,tuan,xiang,upperSymbol,loweSymbol,combination,number,hexagramImage,remarks
乾,乾為天，健也，陽之性也。,乾，元亨利貞。,大哉乾元，萬物資始，乃統天。雲行雨施，品物流形。大明始終，六位時成，時乘六龍以御天。乾道變化，各正性命，保合大和，乃利貞。首出庶物，萬國咸寧。,天行健，君子以自強不息。,天,天,乾為天,111111,䷀,
坤,坤為地，順也，陰之性也。,坤，元亨，利牝馬之貞。君子有攸往。先迷後得，主利，西南得朋，東北喪朋，安貞吉。,至哉坤元，萬物資生，乃順承天。坤厚載物，德合无疆。含弘光大，品物咸亨。牝馬地類，行地无疆，柔順利貞。君子攸行，先迷失道，後順得常。西南得朋，乃與類行；東北喪朋，乃終有慶。安貞之吉，應地无疆。,地勢坤，君子以厚德載物。,地,地,坤為地,000000,䷁,
屯,始生之難。屯，草也。,屯，元亨利貞，勿用有攸往，利建侯。,屯，剛柔始交而難生，動乎險中，大亨貞。雷雨之動滿盈，天造草昧，宜建侯而不寧。,雲雷屯，君子以經綸。,水,雷,水雷屯,010001,䷂,
蒙,物之初生。蒙，稚也。,蒙，亨，匪我求童蒙，童蒙求我。初筮告，再三瀆，瀆則不告，利貞。,蒙，山下有險，險而止，蒙。蒙亨，以亨行時中也。匪我求童蒙，童蒙求我，志應也。初噬告，以剛中也。再三瀆，瀆則不告，瀆蒙也。蒙以養正，聖功也。,山下出泉，蒙，君子以果行育徳。,山,水,山水蒙,100010,䷃,
需,飲食訓養。需，待也,需，有孚，光亨，貞吉，利涉大川。,需，須也；險在前也。剛健而不陷，其義不困窮矣。需有孚，光亨，貞吉。位乎天位，以正中也。利涉大川，往有功也。,雲上於天，需，君子以飲食宴樂。,水,天,水天需,010111,䷄,
訟,矛盾爭訟。訟，爭也。,訟，有孚，窒惕，中吉，終凶，利見大人，不利涉大川。,訟，上剛下險，險而健訟。訟有孚窒，惕中吉，剛來而得中也。終凶；訟不可成也。利見大人；尚中正也。不利涉大川；入于淵也,天與水違行，訟，君子以作事謀始。,天,水,天水訟,111010,䷅,
師,動眾出征。師，眾也。,師貞，丈人吉，无咎。,師，眾也，貞正也，能以眾正，可以王矣。剛中而應，行險而順，以此毒天下，而民從之，吉又何咎矣。,地中有水，師，君子以容民畜衆。,地,水,地水師,000010,䷆,
比,親密比輔。比，密也。,比，吉，原筮元永貞，无咎，不寧方來，後夫凶。,比，吉也，比，輔也，下順從也。原筮元永貞，无咎，以剛中也。不寧方來，上下應也。後夫凶，其道窮也。,地上有水，比，先王以建萬國，親諸侯。,水,地,水地比,010000,䷇,
小畜,以小畜大。畜，養、聚、止。,小畜，亨，密雲不雨，自我西郊。,小畜，柔得位，而上下應之，曰小畜。健而巽，剛中而志行，乃亨。密雲不雨，尚往也。自我西郊，施未行也。,風行天上，小畜，君子以懿文徳。,風,天,風天小畜,110111,䷈,
履,踐履執禮。履，禮也。,履虎尾，不咥人，亨。,履，柔履剛也。說而應乎乾，是以履虎尾，不咥人，亨。剛中正，履帝位而不疚，光明也。,上天下澤，履，君子以辨上下，定民志。,天,澤,天澤履,111011,䷉,
泰,上下交通。泰，通也。,泰，小往大來，吉亨。,泰，小往大來，吉亨。則是天地交，而萬物通也；上下交，而其志同也。內陽而外陰，內健而外順，內君子而外小人，君子道長，小人道消也。,天地交泰，后以財成。天地之道，輔相天地之宜，以左右民。,地,天,地天泰,000111,䷊,
否,上下不交。否，閉也。,否之匪人，不利君子貞，大往小來。,否之匪人，不利君子貞。大往小來，則是天地不交，而萬物不通也；上下不交，而天下无邦也。內陰而外陽，內柔而外剛，內小人而外君子。小人道長，君子道消也。,天地不交，否，君子以儉徳辟難，不可榮以禄。,天,地,天地否,111000,䷋,
同人,與人和同。同人，親也。,同人于野，亨，利涉大川，利君子貞。,同人，柔得位得中，而應乎乾，曰同人。同人曰，同人于野，亨。利涉大川，乾行也。文明以健，中正而應，君子正也。唯君子為能通天下之志。,天與火同人，君子以類族辯物。,天,火,天火同人,111101,䷌,
大有,萬物所歸。大有，眾也。,大有，元亨。,大有，柔得尊位，大中而上下應之，曰大有。其德剛健而文明，應乎天而時行，是以元亨。,火在天上，大有。君子以遏惡揚善，順天休命。,火,天,火天大有,101111,䷍,
謙,謙不自滿。謙，退也。,謙，亨，君子有終。,謙，亨，天道下濟而光明，地道卑而上行。天道虧盈而益謙，地道變盈而流謙，鬼神害盈而福謙，人道惡盈而好謙。謙尊而光，卑而不可踰，君子之終也。,地中有山，謙。君子以裒多益寡，稱物平施。,地,山,地山謙,000100,䷎,
豫,萬物奮起。豫，樂也。,豫，利建侯、行師。,豫，剛應而志行，順以動，豫。豫，順以動，故天地如之，而況建侯行師乎？天地以順動，故日月不過，而四時不忒；聖人以順動，則刑罰清而民服。豫之時義大矣哉！,雷出地奮，豫，先王以作樂崇徳，殷薦之上帝，以配祖考。,雷,地,雷地豫,001000,䷏,
隨,隨順自然。隨，從也。,隨，元亨利貞，无咎。,隨，剛來而下柔，動而說，隨。大亨貞，无咎，而天下隨時，隨時之義大矣哉！,澤中有雷，隨，君子以嚮晦入宴息。,澤,雷,澤雷隨,011001,䷐,
蠱,除弊治亂。蠱，器久不用而蟲生之。,蠱，元亨，利涉大川。先甲三日，後甲三日。,蠱，剛上而柔下，巽而止，蠱。蠱，元亨，而天下治也。利涉大川，往有事也。先甲三日，後甲三日，終則有始，天行也。,山下有風，蠱。君子以振民育徳。,山,風,山風蠱,100110,䷑,
臨,下視民情。臨，上近下也。,臨，元亨利貞，至于八月有凶。,臨，剛浸而長。說而順，剛中而應，大亨以正，天之道也。至于八月有凶，消不久也。,澤上有地，臨。君子以教思无窮，容保民无疆。,地,澤,地澤臨,000011,䷒,
觀,仰視君德。觀，審視。,觀，盥而不薦，有孚顒若。,大觀在上，順而巽，中正以觀天下。觀，盥而不薦，有孚顒若，下觀而化也。觀天之神道，而四時不忒，聖人以神道設教，而天下服矣。,風行地上，觀。先王以省方，觀民設教。,風,地,風地觀,110000,䷓,
噬嗑,明罰敕法。噬嗑，咬合。,噬嗑亨，利用獄。,頤中有物，曰噬嗑，噬嗑而亨。剛柔分，動而明，雷電合而章。柔得中而上行，雖不當位，利用獄也。,雷電，噬嗑，先王以明罰勑法。,火,雷,火雷噬嗑,101001,䷔,
賁,以文飾質。賁，无色、飾也。,賁，亨小，利有攸往。,賁，亨；柔來而文剛，故亨。分剛上而文柔，故小利有攸往。天文也；文明以止，人文也。觀乎天文，以察時變；觀乎人文，以化成天下。,山下有火，賁，君子以明庶政，无敢折獄。,山,火,山火賁,100101,䷕,
剝,剝脫砥礪。剝，裂也。,剝，不利有攸往。,剝，剝也，柔變剛也。不利有攸往，小人長也。順而止之，觀象也。君子尚消息盈虛，天行也。,山附於地，剥，上以厚下安宅。,山,地,山地剝,100000,䷖,
復,週而復始。復，返也。,復，亨，出入无疾，朋來无咎，反復其道，七日來復，利有攸往。,復亨；剛反，動而以順行，是以出入无疾，朋來无咎。反復其道，七日來復，天行也。利有攸往，剛長也。復其見天地之心乎？,雷在地中，復，先王以至日閉關，商旅不行，后不省方。,地,雷,地雷復,000001,䷗,
无妄,不作妄想。妄，偽也。,无妄，元亨利貞。其匪正有眚，不利有攸往。,无妄，剛自外來，而為主於內。動而健，剛中而應，大亨以正，天之命也。其匪正有眚，不利有攸往。无妄之往，何之矣？天命不佑，行矣哉？,天下雷行物與，无妄，先王以茂對，時育萬物。,天,雷,天雷无妄,111001,䷘,
大畜,蓄勢待發。畜，養、聚、止。,大畜，利貞，不家食，吉，利涉大川。,大畜，剛健篤實輝光，日新其德，剛上而尚賢。能止健，大正也。不家食吉，養賢也。利涉大川，應乎天也。,天在山中，大畜，君子以多識前言往行，以畜其德。,山,天,山天大畜,100111,䷙,
頤,慎言節食。頤，養也。,頤，貞吉，觀頤，自求口實。,頤貞吉，養正則吉也。觀頤，觀其所養也；自求口實，觀其自養也。天地養萬物，聖人養賢，以及萬民；頤之時大矣哉！,山下有雷，頤，君子以慎言語，節飲食。,山,雷,山雷頤,100001,䷚,
大過,大過常度。過，越度也。,大過，棟橈。利有攸往，亨。,大過，大者過也。棟橈，本末弱也。剛過而中，巽而說行，利有攸往，乃亨。大過之時大矣哉！,澤滅木，大過，君子以獨立不懼，遯世无悶。,澤,風,澤風大過,011110,䷛,
坎,艱難行險。坎，陷也。,習坎，有孚，維心亨，行有尚。,習坎，重險也。水流而不盈，行險而不失其信。維心亨，乃以剛中也。行有尚，往有功也。天險不可升也，地險山川丘陵也，王公設險以守其國，坎之時用大矣哉！,水洊至，習坎，君子以常德行，習教事。,水,水,坎為水,010010,䷜,
離,附麗他物。離，麗也。,離，利貞，亨，畜牝牛吉。,離，麗也；日月麗乎天，百穀草木麗乎土，重明以麗乎正，乃化成天下。柔麗乎中正，故亨；是以畜牝牛吉也。,明兩作，離，大人以繼明照于四方。,火,火,離為火,101101,䷝,
咸,夫婦人倫。咸，感也。,咸亨，利貞，取女吉。,咸，感也。柔上而剛下，二氣感應以相與，止而說，男下女，是以亨利貞，取女吉也。天地感而萬物化生，聖人感人心而天下和平，觀其所感，而天地萬物之情可見矣。,山上有澤，咸，君子以虛受人。,澤,山,澤山咸,011100,䷞,
恆,守恆執中。恆，久也。,恒亨，无咎，利貞，利有攸往。,恆，久也。剛上而柔下，雷風相與，巽而動，剛柔皆應，恆。恆亨无咎，利貞；久於其道也，天地之道，恆久而不已也。利有攸往，終則有始也。日月得天，而能久照，四時變化，而能久成，聖人久於其道，而天下化成；觀其所恆，而天地萬物之情可見矣！,雷風，恒，君子以立不易方。,雷,風,雷風恆,001110,䷟,
遯,避退伺時。遯，逃也。,遯亨，小利貞。,遯亨，遯而亨也。剛當位而應，與時行也。小利貞，浸而長也。遯之時義大矣哉！,天下有山，遯，君子以遠小人，不惡而嚴。,天,山,天山遯,111100,䷠,
大壯,大為強盛。壯，盛也。,大壯，利貞。,大壯，大者壯也。剛以動，故壯。大壯利貞；大者正也。正大而天地之情可見矣！,雷在天上，大壯。君子以非禮弗履。,雷,天,雷天大壯,001111,䷡,
晉,柔進上行。晉，進也。,晉，康候用錫馬蕃庶，晝日三接。,晉，進也。明出地上，順而麗乎大明，柔進而上行。是以康侯用錫馬蕃庶，晝日三接也。,明出地上，晉，君子以自昭明德。,火,地,火地晉,101000,䷢,
明夷,明而不見。明夷，誅也。,明夷，利艱貞。,明入地中，明夷。內文明而外柔順，以蒙大難，文王以之。利艱貞，晦其明也，內難而能正其志，箕子以之。,明入地中，明夷，君子以涖衆用晦而明。,地,火,地火明夷,000101,䷣,
家人,齊家之道。家人，內也。,家人，利女貞。,家人，女正位乎內，男正位乎外，男女正，天地之大義也。家人有嚴君焉，父母之謂也。父父，子子，兄兄，弟弟，夫夫，婦婦，而家道正；正家而天下定矣。,風自火出，家人，君子以言有物而行有恒。,風,火,風火家人,110101,䷤,
睽,矛盾對立。睽，乖也。,睽，小事吉。,睽，火動而上，澤動而下；二女同居，其志不同行；說而麗乎明，柔進而上行，得中而應乎剛；是以小事吉。天地睽，而其事同也；男女睽，而其志通也；萬物睽，而其事類也；睽之時用大矣哉！,上火下澤，睽，君子以同而異。,火,澤,火澤睽,101011,䷥,
蹇,知難而退。蹇，難也。,蹇，利西南，不利東北，利見大人，貞吉。,蹇，難也，險在前也。見險而能止，知矣哉！蹇利西南，往得中也；不利東北，其道窮也。利見大人，往有功也。當位貞吉，以正邦也。蹇之時用大矣哉！,山上有水，蹇，君子以反身修徳。,水,山,水山蹇,010100,䷦,
解,舒緩險難。解，難之散也。,解，利西南，无所往，其來復吉。有攸往，夙吉。,解，險以動，動而免乎險，解。解利西南，往得眾也。其來復吉，乃得中也。有攸往夙吉，往有功也。天地解，而雷雨作，雷雨作，而百果草木皆甲坼，解之時大矣哉！,雷雨作，解，君子以赦過宥罪。,雷,水,雷水解,001010,䷧,
損,損下益上。損，減也。,損，有孚，元吉，无咎可貞，利有攸往，曷之用，二簋可用享。,損，損下益上，其道上行。損而有孚，元吉，无咎，可貞，利有攸往。曷之用？二簋可用享；二簋應有時。損剛益柔有時，損益盈虛，與時偕行。,山下有澤，損，君子以懲忿窒欲。,山,澤,山澤損,100011,䷨,
益,益下損上。益，增也。,益，利有攸往，利涉大川。,益，損上益下，民說无疆，自上下下，其道大光。利有攸往，中正有慶。利涉大川，木道乃行。益動而巽，日進无疆。天施地生，其益无方。凡益之道，與時偕行。,風雷，益，君子以見善則遷，有過則改。,風,雷,風雷益,110001,䷩,
夬,益而不已則夬。夬，分也。,夬，揚于王庭，孚號有厲；告自邑，不利即戎，利有攸往。,夬，決也，剛決柔也。健而說，決而和，揚于王庭，柔乘五剛也。孚號有厲，其危乃光也。告自邑，不利即戎，所尚乃窮也。利有攸往，剛長乃終也。,澤上於天，夬，君子以施禄及下，居徳則忌。,澤,天,澤天夬,011111,䷪,
姤,與萬物相遇。姤，遇也。,姤，女壯，勿用取女。,姤，遇也，柔遇剛也。勿用取女，不可與長也。天地相遇，品物咸章也。剛遇中正，天下大行也。姤之時義大矣哉！,天下有風，姤，后以施命誥四方。,天,風,天風姤,111110,䷫,
萃,物以類聚。萃，聚也。 ,萃，亨，王假有廟。利見大人，亨，利貞，用大牲吉，利有攸往。,萃，聚也；順以說，剛中而應，故聚也。王假有廟，致孝享也。利見大人亨，聚以正也。用大牲吉，利有攸往，順天命也。觀其所聚，而天地萬物之情可見矣。,澤上於地，萃，君子以除戎器，戒不虞。,澤,地,澤地萃,011000,䷬,
升,聚而上長。升，上也。,升，元亨，用見大人，勿恤，南征吉。,柔以時升，巽而順，剛中而應，是以大亨。用見大人，勿恤；有慶也。南征吉，志行也。,地中生木，升，君子以順德，積小以高大。,地,風,地風升,000110,䷭,
困,升而不已必困。困，窮止。,困，亨，貞，大人吉，无咎，有言不信。,困，剛掩也。險以說，困而不失其所，亨；其唯君子乎？貞大人吉，以剛中也。有言不信，尚口乃窮也。,澤无水，困，君子以致命遂志。,澤,水,澤水困,011010,䷮,
井,養而不窮。井，汲、通。,井，改邑不改井，无喪无得，往來井，井汔至，亦未繘井，羸其瓶，凶。,巽乎水而上水，井；井養而不窮也。改邑不改井，乃以剛中也。汔至亦未繘井，未有功也。羸其瓶，是以凶也。,木上有水，井，君子以勞民勸相。,水,風,水風井,010110,䷯,
革,去舊。革，皮去其毛，變也。,革，已日乃孚，元亨利貞，悔亡。,革，水火相息，二女同居，其志不相得，曰革。巳日乃孚；革而信也。文明以說，大亨以正，革而當，其悔乃亡。天地革而四時成，湯武革命，順乎天而應乎人，革之時大矣哉！,澤中有火，革，君子以治曆明時。,澤,火,澤火革,011101,䷰,
鼎,取新。鼎，以木巽火，烹飪也。,鼎，元吉，亨。,鼎，象也。以木巽火，亨飪也。聖人亨以享上帝，而大亨以養聖賢。巽而耳目聰明，柔進而上行，得中而應乎剛，是以元亨。,木上有火，鼎，君子以正位凝命。,火,風,火風鼎,101110,䷱,
震,守成奮進。震，動也。,震亨，震來虩虩，笑言啞啞，震驚百里，不喪匕鬯。,震，亨。震來虩虩，恐致福也。笑言啞啞，後有則也。震驚百里，驚遠而懼邇也。出可以守宗廟社稷，以為祭主也。,洊雷，震，君子以恐懼修省。,雷,雷,震為雷,001001,䷲,
艮,守位抑止。艮，止也。,艮其背，不獲其身；行其庭，不見其人。无咎。,艮，止也。時止則止，時行則行，動靜不失其時，其道光明。艮其止，止其所也。上下敵應，不相與也。是以不獲其身，行其庭不見其人，无咎也。,兼山，艮，君子以思不出其位。,山,山,艮為山,100100,䷳,
漸,循序漸進，正者。漸，進也。,漸，女歸吉，利貞。,漸之進也，女歸吉也。進得位，往有功也。進以正，可以正邦也。其位剛，得中也。止而巽，動不窮也。,山上有木，漸，君子以居賢德善俗。,風,山,風山漸,110100,䷴,
歸妹,非循禮法，從者。歸妹，姪娣。,歸妹，征凶，无攸利。,歸妹，天地之大義也。天地不交，而萬物不興，歸妹人之終始也。說以動，所歸妹也。征凶，位不當也。无攸利，柔乘剛也。,澤上有雷，歸妹，君子以永終知敝。,雷,澤,雷澤歸妹,001011,䷵,
豐,宗族壯大。豐，大也。,豐亨，王假之，勿憂，宜日中。,豐，大也。明以動，故丰。王假之，尚大也。勿憂宜日中，宜照天下也。日中則昃，月盈則食，天地盈虛，與時消息，而況人於人乎？況於鬼神乎？,雷電皆至，豐，君子以折獄致刑。,雷,火,雷火豐,001101,䷶,
旅,羈旅在外。旅，羈旅。,旅，小亨，旅貞吉。,旅，小亨，柔得中乎外，而順乎剛，止而麗乎明，是以小亨，旅貞吉也。旅之時義大矣哉！,山上有火，旅，君子以明慎用刑而不留獄。,火,山,火山旅,101100,䷷,
巽,順令安身。巽，入也。,巽，小亨，利有攸往，利見大人。,重巽以申命，剛巽乎中正而志行。柔皆順乎剛，是以小亨，利有攸往，利見大人。,隨風，巽，君子以申命行事。,風,風,巽為風,110110,䷸,
兌,通感而悅。兌，悅也。,兌，亨，利貞。,兌，說也。剛中而柔外，說以利貞，是以順乎天，而應乎人。說以先民，民忘其勞；說以犯難，民忘其死；說之大，民勸矣哉！,麗澤，兌，君子以朋友講習。,澤,澤,兌為澤,011011,䷹,
渙,散漫離散。渙，散也。,渙，亨，王假有廟，利涉大川，利貞。,渙，亨。剛來而不窮，柔得位乎外而上同。王假有廟，王乃在中也。利涉大川，乘木有功也。,風行水上，渙，先王以享于帝立廟。,風,水,風水渙,110010,䷺,
節,約束執中。結，節制。,節，亨。苦節，不可貞。,節，亨，剛柔分，而剛得中。苦節不可貞，其道窮也。說以行險，當位以節，中正以通。天地節而四時成，節以制度，不傷財，不害民。,澤上有水，節，君子以制數度，議德行。,水,澤,水澤節,010011,䷻,
中孚,內誠外信。中孚，信也。,中孚，豚魚吉，利涉大川，利貞。,中孚，柔在內而剛得中。說而巽，孚，乃化邦也。豚魚吉，信及豚魚也。利涉大川，乘木舟虛也。中孚以利貞，乃應乎天也。,澤上有風，中孚，君子以議獄緩死。,風,澤,風澤中孚,110011,䷼,
小過,過中而能矯。過，越度也。,小過，亨，利貞，可小事，不可大事。飛鳥遺之音，不宜上，宜下，大吉。,小過，小者過而亨也。過以利貞，與時行也。柔得中，是以小事吉也。剛失位而不中，是以不可大事也。有飛鳥之象焉，有飛鳥遺之音，不宜上宜下，大吉；上逆而下順也。,山上有雷，小過，君子以行過乎恭，喪過乎哀，用過乎儉。,雷,山,雷山小過,001100,䷽,
既濟,事之既成。濟，成也。,既濟，亨小，利貞，初吉終亂。,既濟，亨，小者亨也。利貞，剛柔正而位當也。初吉，柔得中也。終止則亂，其道窮也。,水在火上，既濟，君子以思患而豫防之。,水,火,水火既濟,010101,䷾,
未濟,事未竟成。濟，成也。,未濟，亨。小狐汔濟，濡其尾，无攸利。,未濟，亨；柔得中也。小狐汔濟，未出中也。濡其尾，无攸利；不續終也。雖不當位，剛柔應也。,火在水上，未濟，君子以慎，辯物居方。,火,水,火水未濟,101010,䷿,